SamleID	TimePoint	Population
Sample_SRR3172000	Historical	South
Sample_SRR3172001	Historical	South
Sample_SRR3172003	Historical	South
Sample_SRR3172004	Historical	South
Sample_SRR3172005	Historical	South
Sample_SRR3172006	Historical	South
Sample_SRR3172007	Historical	South
Sample_SRR3172008	Historical	Ext
Sample_SRR3172009	Historical	Ext
Sample_SRR3172010	Historical	Ext
Sample_SRR3172011	Historical	Ext
Sample_SRR3172012	Historical	Ext
Sample_SRR3172014	Historical	South
Sample_SRR3172015	Historical	South
Sample_SRR3172016	Historical	South
Sample_SRR3172018	Historical	South
Sample_SRR3172020	Historical	South
Sample_SRR3172021	Historical	South
Sample_SRR3172022	Historical	South
Sample_SRR3172023	Historical	South
Sample_SRR3172024	Historical	South
Sample_SRR3172025	Historical	South
Sample_SRR3172027	Historical	South
Sample_SRR3172028	Historical	South
Sample_SRR3172029	Historical	South
Sample_SRR3172030	Historical	North
Sample_SRR3172031	Historical	North
Sample_SRR3172032	Historical	North
Sample_SRR3172033	Historical	North
Sample_SRR3172035	Historical	North
Sample_SRR3172036	Historical	North
Sample_SRR3172037	Historical	North
Sample_SRR3172039	Historical	North
Sample_SRR3172040	Historical	North
Sample_SRR3172041	Historical	North
Sample_SRR3172042	Historical	North
Sample_SRR3172043	Historical	North
Sample_SRR3172044	Historical	North
Sample_SRR3172045	Historical	North
Sample_SRR3172047	Historical	North
Sample_SRR3172048	Historical	North
Sample_SRR3172049	Historical	North
Sample_SRR3172051	Historical	North
Sample_SRR3172052	Historical	North
Sample_SRR3172053	Historical	North
Sample_SRR3172054	Historical	North
Sample_SRR3172055	Historical	North
Sample_SRR3172056	Historical	North
Sample_SRR3172057	Historical	North
Sample_SRR3172059	Historical	North
Sample_SRR3172060	Historical	North
Sample_SRR3172061	Historical	North
Sample_SRR3171968	Modern	North
Sample_SRR3171969	Modern	North
Sample_SRR3171970	Modern	South
Sample_SRR3171971	Modern	North
Sample_SRR3171972	Modern	North
Sample_SRR3171973	Modern	North
Sample_SRR3171974	Modern	North
Sample_SRR3171975	Modern	North
Sample_SRR3171976	Modern	North
Sample_SRR3171977	Modern	South
Sample_SRR3171978	Modern	South
Sample_SRR3171979	Modern	South
Sample_SRR3171980	Modern	North
Sample_SRR3171981	Modern	South
Sample_SRR3171982	Modern	South
Sample_SRR3171983	Modern	South
Sample_SRR3171984	Modern	South
Sample_SRR3171985	Modern	South
Sample_SRR3171986	Modern	South
Sample_SRR3171987	Modern	South
Sample_SRR3171988	Modern	South
Sample_SRR3171989	Modern	South
Sample_SRR3171990	Modern	South
Sample_SRR3171991	Modern	North
Sample_SRR3171992	Modern	South
Sample_SRR3171993	Modern	South
Sample_SRR3171994	Modern	South
Sample_SRR3171995	Modern	South
Sample_SRR3171996	Modern	South
Sample_SRR3171997	Modern	South
Sample_SRR3171998	Modern	South
Sample_SRR3171999	Modern	South
Sample_SRR3172002	Modern	North
Sample_SRR3172013	Modern	South
Sample_SRR3172026	Modern	South
Sample_SRR3172038	Modern	South
Sample_SRR3172050	Modern	South
Sample_SRR3172062	Modern	South
